Fly_index,Stimulation,Fly_line,Experiment,Slope[mm/s²],Backward distance traveled [mm],Vmin [mm/s]
61,on0,M0MDN3-CWAF22,M0MDN3-CWAF30_200724_142001_s0a0_p6-0,-80.67550539422432,-5.1419633058856,-17.537230665831252
62,on0,M0MDN3-CWAF22,M0MDN3-CWAF23_200717_104600_s0a0_p6-0,-38.32601399709889,-7.7242903164301655,-7.769504561584473
63,on0,M0MDN3-CWAF22,M0MDN3-CWAF23_200813_084803_s0a0_p6-0,-5.0412660954552,-2.332317817401809,-3.4051168866384036
64,on0,M0MDN3-CWAF22,M0MDN3-CWAF23_200730_102203_s0a0_p6-0,,,
65,on0,M0MDN3-CWAF22,M0MDN3-CWAF12_200724_094740_s0a0_p6-0,,,
66,on0,M0MDN3-CWAF22,M0MDN3-CWAF12_200710_110611_s0a0_p6-0,-4.4770212142218035,-13.119718378832772,-6.922451533759421
67,on0,M0MDN3-CWAF22,M0MDN3-CWAF12_200806_084701_s0a0_p6-0,-36.28042780601779,-7.547666830312134,-4.624134058376936
68,on0,M0MDN3-CWAF22,M0MDN3-CWAF21_200728_085651_s0a0_p6-0,-33.40077267351019,-10.160121971799537,-6.517836037572188
69,on0,M0MDN3-CWAF22,M0MDN3-CWAF21_200811_090600_s0a0_p6-0,-76.21930569104666,-3.561553482129932,-9.556573651920475
70,on0,M0MDN3-CWAF22,M0MDN3-CWAF21_200714_092330_s0a0_p6-0,-23.355054650856392,-11.092770617821374,-8.252909151298702
71,on0,M0MDN3-CWAF22,M0MDN3-CWAF11_200702_115020_s0a0_p6-0,-0.20982138756101265,-6.1442348173146675,-4.763213451915259
72,on0,M0MDN3-CWAF22,M0MDN3-CWAF10_200702_113933_s0a0_p6-0,-10.513307976159089,-1.1358402275128354,-2.4932992889851238
73,on0,M0MDN3-CWAF22,M0MDN3-CWAF37_200724_125201_s0a0_p6-0,,,
74,on0,M0MDN3-CWAF22,M0MDN3-CWAF20_200714_085826_s0a0_p6-0,,,
75,on0,M0MDN3-CWAF22,M0MDN3-CWAF40_200807_095810_s0a0_p6-0,-32.409975876783975,-12.679637777050452,-7.368157005860824
76,on0,M0MDN3-CWAF22,M0MDN3-CWAF40_200724_112522_s0a0_p6-0,-25.45584809340839,-2.384200082534367,-8.170818737237962
77,on0,M0MDN3-CWAF22,M0MDN3-CWAF15_200806_090806_s0a0_p6-0,-46.18814316368652,-9.142725872987164,-10.872078220905543
78,on0,M0MDN3-CWAF22,M0MDN3-CWAF15_200710_120500_s0a0_p6-0,-67.64752475698698,-6.572684932036069,-15.335547414400924
79,on0,M0MDN3-CWAF22,M0MDN3-CWAF15_200724_105300_s0a0_p6-0,-45.20838688755787,-7.946177080049141,-8.993312168966137
80,on0,M0MDN3-CWAF22,M0MDN3-CWAF9_200702_110714_s0a0_p6-0,-2.007746973470874,-5.022741273015266,-8.027949758373998
81,on0,M0MDN3-CWAF22,M0MDN3-CWAF9_200717_094459_s0a0_p6-0,-9.652941514111339,-1.2597880412073077,-6.215573924453112
82,on0,M0MDN3-CWAF22,M0MDN3-CWAF9_200730_100716_s0a0_p6-0,-12.112089358845365,-5.095147332021977,-7.884990194483625
83,on0,M0MDN3-CWAF22,M0MDN3-CWAF18_200811_090302_s0a0_p6-0,-20.492985371520383,-2.877454389004958,-4.417221385664285
84,on0,M0MDN3-CWAF22,M0MDN3-CWAF18_200714_084029_s0a0_p6-0,-40.79039188404502,-7.753546621730067,-9.04793608310788
85,on0,M0MDN3-CWAF22,M0MDN3-CWAF18_200728_085303_s0a0_p6-0,,,
86,on0,M0MDN3-CWAF22,M0MDN3-CWAF34_200807_084709_s0a0_p6-0,-21.00792298141671,-19.62763456504816,-8.342752102890346
87,on0,M0MDN3-CWAF22,M0MDN3-CWAF34_200724_132021_s0a0_p6-0,-32.449341784611825,-20.89161532764956,-10.946257854034943
88,on0,M0MDN3-CWAF22,M0MDN3-CWAF34_200820_095200_s0a0_p6-0,-54.57623573164845,-11.750760199898252,-6.586927460480409
0,on1,M0MDN3-CWAF22,M0MDN3-CWAF22_200714_092939_s0a0_p6-0,-29.841060501154807,-11.363035651889941,-6.6816706057116
1,on1,M0MDN3-CWAF22,M0MDN3-CWAF32_200724_140800_s0a0_p6-0,-40.43444547725488,-8.16864627814829,-10.38991746682735
2,on1,M0MDN3-CWAF22,M0MDN3-CWAF32_200807_083200_s0a0_p6-0,,,
3,on1,M0MDN3-CWAF22,M0MDN3-CWAF32_200820_092201_s0a0_p6-0,-35.73557917710389,-0.8967336604472049,-7.24672015369586
4,on1,M0MDN3-CWAF22,M0MDN3-CWAF38_200807_094503_s0a0_p6-0,,,
5,on1,M0MDN3-CWAF22,M0MDN3-CWAF38_200820_103603_s0a0_p6-0,-39.55516622781515,-14.93648964269779,-7.9010840810455365
6,on1,M0MDN3-CWAF22,M0MDN3-CWAF38_200724_113826_s0a0_p6-0,,,
7,on1,M0MDN3-CWAF22,M0MDN3-CWAF7_200702_102303_s0a0_p6-0,-13.253770347339184,-5.4793266408431425,-4.684320073263908
8,on1,M0MDN3-CWAF22,M0MDN3-CWAF25_200717_110607_s0a0_p6-0,-93.23657733600265,-10.290980283017541,-7.035050056501981
9,on1,M0MDN3-CWAF22,M0MDN3-CWAF13_200710_111807_s0a0_p6-0,-119.16424616392575,-11.253007733523289,-21.447617260779793
10,on1,M0MDN3-CWAF22,M0MDN3-CWAF13_200806_085301_s0a0_p6-0,,,
11,on1,M0MDN3-CWAF22,M0MDN3-CWAF13_200724_095302_s0a0_p6-0,-68.90151257709503,-16.07293245300051,-9.241388693382314
